3DGS,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,
time,386.7753764,436.3832438,337.1675091,,,,,,,,
SSIM,0.90560835,0.9013554,0.9098613,,,,,,,,
PSNR,29.76578715,29.1116791,30.4198952,,,,,,,,
LPIPS,0.24537815,0.2487529,0.2420034,,,,,,,,
final number of Gaussians,1953464,2389677,1517251,,,,,,,,
,,,,,,,,,,,
DashGS,average,train,truck,,,,,,,,
time,413.5624809,387.0829959,440.041966,,,,,,,,
SSIM,0.85230585,0.8165229,0.8880888,,,,,,,,
PSNR,24.0047741,22.1324844,25.8770638,,,,,,,,
LPIPS,0.1753928,0.2081326,0.142653,,,,,,,,
final number of Gaussians,1346747.5,982830,1710665,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
FastGS,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,
time,210.7695673,182.5133502,220.9151542,229.6566145,190.4217534,241.7378619,298.0237613,200.0551066,162.296958,171.3055458,
SSIM,0.797664111,0.7219165,0.9382206,0.9006504,0.5743366,0.8472238,0.9246434,0.9127542,0.752255,0.6069765,
PSNR,27.5101897,24.8134174,32.1550331,29.0801716,21.3397694,27.272501,31.7851982,31.7988129,26.4966164,22.8501873,
LPIPS,0.260797878,0.2962957,0.2126306,0.2194639,0.3892877,0.1567843,0.135615,0.238874,0.281206,0.4170237,
final number of Gaussians,377155,485024,278601,212365,445798,658127,391737,213955,346788,362000,
peak number of Gaussians,466111.2222,615972,360271,259588,547353,771355,492116,271427,415256,461663,
,,,,,,,,,,,
FastGS,average,drjohnson,playroom,,,,,,,,
time,159.4332334,168.0472522,150.8192146,,,,,,,,
SSIM,0.90528415,0.9004272,0.9101411,,,,,,,,
PSNR,30.02498245,29.5364342,30.5135307,,,,,,,,
LPIPS,0.26716515,0.2718856,0.2624447,,,,,,,,
final number of Gaussians,217058,251309,182807,,,,,,,,
peak number of Gaussians,296102.5,355231,236974,,,,,,,,
,,,,,,,,,,,
FastGS,average,train,truck,,,,,,,,
time,154.4361984,156.0938268,152.7785699,,,,,,,,
SSIM,0.8416668,0.8063912,0.8769424,,,,,,,,
PSNR,24.1372671,22.5281677,25.7463665,,,,,,,,
LPIPS,0.20864335,0.240771,0.1765157,,,,,,,,
final number of Gaussians,241675,230033,253317,,,,,,,,
peak number of Gaussians,324290,320616,327964,,,,,,,,
,,,,,,,,,,,
